app_ref,council_id,lat,lng,applicant1,applicant2,applicant3,received_date,decision_date,address1,address2,address3,address4,decision,status,details,url,tweet_id
3261/10,3,,,,,,2010-07-23,2010-11-30,"Within The Grounds Of Ossary Road, Industrial Estate Ossary Road, North Strand, Dublin 3",,,,C,9,RETENTION: For a different headframe & fixed rung ladder on a 15m,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3261/10,1
3303/10,3,,,,,,2010-07-30,2010-11-26,"St. Catherine's & St. James Church, Donore Avenue, Dublin 8",,,,C,9,PROTECTED STRUCTURE: Installation of 3 no. panel antenna,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3303/10,1
3316/10,3,53.3487243,-6.2671708,,,,2010-07-30,2010-12-14,"50-52, Mary Street, Dublin 1",,,,C,9,PROTECTED STRUCTURE: Change of use from retail to restaurant,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3316/10,1
3350/10,3,53.3640051,-6.1941757,,,,2010-08-05,2011-01-05,"64, Seafield Road East, Clontarf, Dublin 3",,,,C,9,New detached dormer bungalow with pitched roof finish,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3350/10,1
3406/10,3,,,,,,2010-08-13,2010-12-08,"31, Park Road, Navan Road, Dublin 7",,,,C,9,2 new dormer windows to rear & 3 rooflights to front with internal modifications,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3406/10,1
3495/10,3,53.3251089,-6.2671951,,,,2010-08-30,2010-12-01,"St. Louis Infant & Senior Primary School, William's Park, Rathmines, Dublin 6",,,,C,9,The erection of 6 no. 8 metre high flagpoles,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3495/10,1
3518/05/x1,3,,,,,,2010-11-23,2011-01-26,"43-49, Mespil Road, 40-42 Mespil Road and 1 Burlington Road,  Dublin 4",,,,R,9,development for a new office building with a total gross floor area of 13.528 sq,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3518/05/x1,1
3546/10,3,53.322312,-6.256413,,,,2010-09-08,2010-12-17,"Scoil Bhride, Oakley Road, Ranelagh, Dublin 6",,,,C,9,New two storey 2 classroom extension of 136sqm to rear of existing two storey,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3546/10,1
3582/10,3,,,,,,2010-09-13,2010-12-07,"47, Serpentine Avenue, Ballsbridge, Dublin 4",,,,C,9,New two storey return to rear.  Provision of bathroom to attic space,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3582/10,1
3593/05/x1,3,,,,,,2010-11-24,2011-01-21,"34, Pembroke Lane (rear of 34 Elgin Road), Dublin 4",,,,C,9,"construction of 2 storey, 3 bedroom mews residence, with a car parking space",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3593/05/x1,1
3617/10,3,53.3378777,-6.2524773,,,,2010-09-20,2010-12-15,"128, Baggot Street Lower, Dublin 2",,,,C,9,PROTECTED STRUCTURE-Change of use & works to existing building,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3617/10,1
3631/10,3,53.3325731,-6.2657707,,,,2010-09-22,2010-12-15,"Site at Grantham Place, to the rear of 44 & 45, Harrington Street, Dublin 8",,,,C,9,PROTECTED STRUCTURE - construction of a 3 bedroom 2 storey mews dwelling.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3631/10,1
3647/10,3,53.3382393,-6.2541395,,,,2010-09-23,2010-12-14,"14 & 15, Merrion Row, Dublin 2",,,,C,9,"RETENTION - PROTECTED STRUCTURE - Change of use of basement, ground and first",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3647/10,1
3697/10,3,,,,,,2010-10-01,2010-12-17,"Quintiles Ltd., Eastpoint Business Park, Dublin 3",,,,C,9,Proposed identification logo signage on front elevation,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3697/10,1
3731/06/x1,3,53.380437,-6.234203,,,,2010-11-02,2011-01-27,"Collinswood, Beaumont, Dublin 9, (Bounded By Beaumont Road To North & West, To East By The Crescent, & To South By Collinswood)",,,,R,9,Revisions to previous approved application 1779/05,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3731/06/x1,1
3867/10,3,53.362855,-6.3083489,,,,2010-11-01,2010-12-17,"10, Ardpatrick Road, Cabra, Dublin 7",,,,C,9,Alterations to previously approved ref. no. 3205/10,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3867/10,1
3868/10,3,,,,,,2010-11-01,2010-11-05,"ESB Depot, Jamestown Road, Inchicore, Dublin 8",,,,N,0,Retention of 3000mm high palisade fence previously granted under ref. 4667/05,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3868/10,1
3869/10,3,,,,,,2010-11-01,2010-12-17,"6 & 7, Chatham Court, Chatham Street, Dublin 2",,,,C,9,Retention of change of use from shop to cafe,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3869/10,1
3870/10,3,53.3467952,-6.2625466,,,,2010-11-01,2010-12-16,"6, Bachelors Walk, Dublin 1",,,,C,9,Change of use on ground floor from retail to bakery/cafe use,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3870/10,1
3871/10,3,,,,,,2010-11-01,2010-12-20,"Aston Building, 14-18, Aston Quay, Dublin 2",,,,R,9,PROTECTED STRUCTURE-Erection of concertina style gate to entrance,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3871/10,1
3872/10,3,,,,,,2010-11-01,2010-12-17,"39, Harrington Street, Fronting onto Grantham Street, Dublin 8",,,,N,2,PROTECTED STRUCTURE-3no. bedroom 2 storey mews dwelling,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3872/10,1
3873/10,3,53.3175692,-6.3368303,,,,2010-11-01,2010-12-16,"5, Walkinstown Crescent, Walkinstown, Dublin 12",,,,R,9,Reduction of front extension subsequent to planning permission ref. no. 2639/10,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3873/10,1
3874/10,3,53.3494305,-6.2623155,,,,2010-11-01,2010-11-05,"20, Henry Street, Dublin 1",,,,N,0,PROTECTED STRUCTURE- Replacement of existing shop signage,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3874/10,1
3875/10,3,53.3221374,-6.2302267,,,,2010-11-01,2010-12-17,"87, Anglesea Road, Dublin 4",,,,C,9,PROTECTED STRUCTURE-Construct new single storey extension to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3875/10,1
3876/10,3,53.3932866,-6.3123638,,,,2010-11-02,2010-12-17,"30, Kildonan Road, Finglas, Dublin 11",,,,R,9,"Construction of a two storey dwelling comprising living room, kitchen, WC",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3876/10,1
3877/10,3,,,,,,2010-11-02,2010-12-16,"31, Rathvale Park, Ayrfield, Dublin 13",,,,C,9,"Single storey extension at the side comprising a porch, wc and kitchen extension",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3877/10,1
3878/10,3,53.3658636,-6.2472997,,,,2010-11-02,2011-01-05,"Chart House Business Centre, 157-159, Richmond Road, Fairview, Dublin 3",,,,D,3,"RETENTION - Increased height to corner units nos 7 & 8, and new fenestration to",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3878/10,1
3880/10,3,53.3693305,-6.2081198,,,,2010-11-02,2011-01-05,"Rear of 133a, Castle Avenue, fronting onto Castle Grove, Clontarf, Dublin 3",,,,C,9,Single storey 2 bedroom house including boundary wall treatments and associated,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3880/10,1
3881/10,3,,,,,,2010-11-02,2010-12-20,"1, Ashington Grove, Navan Road, Dublin 7",,,,C,9,"Two storey extension to side, a single storey extension to the front and",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3881/10,1
3882/10,3,53.3297592,-6.2631589,,,,2010-11-02,2011-01-05,"3, Ontario Terrace, Dublin 6",,,,C,9,PROTECTED STRUCTURE - Construction of new single storey extension to the rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3882/10,1
